CollectionId,Location,Date,Status,FieldAgent,Do you consent to participate in this survey?,Q1\. Age,Q2\. Gender,"""Q3\. In an average month, roughly how much do you personally spend on non-essential items (entertainment, dining out, personal care, gadgets, etc\.)?""","""Q4\. Who is the primary decision-maker for major household purchases (appliances, electronics, vehicles)?""",Q5\. How often do you choose branded/premium products over cheaper generic alternatives?,Q6\. Highest level of education completed,Q7\. Employment status,Q8\. Occupation category of the chief income earner in your household,Q9\. Housing tenure,Q10\. Which of these does your household currently have? (select all that apply),Q11\. Household monthly income bracket,Q12\. How many people (including you) depend on this household income?,Q13\. State of residence (where you currently live?)
385523216,"7.2117491, 5.5671426","Aug 25th 2026, 12:40 pm",pending,Dee,"""yes""","""55–64""","""Prefer not to say""","""₦10,000 – ₦29,999""","""I decide alone""","""Sometimes""","""Secondary""","""Self-employed / business owner""","""Middle management / skilled / supervisory""","""Own home — flat/apartment""","Cable/satellite TV (DSTV, GOtv, etc.)
Refrigerator
Air conditioner
Generator
Car","""₦50,000 – ₦150,000""","""3–4""","""Ebonyi"""
289939272,"4.7439841, 7.0980034","Aug 25th 2026, 1:57 pm",pending,Dee,"""no""","""18–24""","""Male""","""₦30,000 – ₦69,999""","""I decide alone""","""Sometimes""","""Secondary""","""Employed full-time""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Refrigerator
Computer/laptop
Smartphone","""₦50,000 – ₦150,000""","""1–2""","""Rivers"""
245106674,"4.74383, 7.0982517","Aug 25th 2026, 2:10 pm",pending,Dee,"""yes""","""35–44""","""Female""","""₦10,000 – ₦29,999""","""Another household member/head decides""","""Sometimes""","""OND/NCE""","""Employed part-time""","""Junior staff / semi-skilled""","""Rented — flat/apartment""","Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Refrigerator","""₦50,000 – ₦150,000""","""3–4""","""Cross River"""
23979362,"4.74383, 7.0982517","Aug 25th 2026, 2:10 pm",pending,Dee,"""yes""","""25–34""","""Male""","""₦30,000 – ₦69,999""","""I decide jointly with a spouse/partner""","""Sometimes""","""Primary""","""Employed part-time""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Computer/laptop
Cable/satellite TV (DSTV, GOtv, etc.)","""Above ₦700,000""","""3–4""","""Cross River"""
38542262,"7.8568611, 6.7105785","Aug 26th 2026, 8:24 am",pending,pelumi ,"""yes""","""25–34""","""Female""","""₦70,000 – ₦150,000""","""I decide jointly with a spouse/partner""","""Sometimes""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Senior management / professional (e.g., doctor, lawyer, exec)""","""Own home — flat/apartment""","Generator
Air conditioner
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone
Car","""₦350,001 – ₦700,000""","""3–4""","""Kogi"""
387751055,"5.9697148, 6.9438943","Aug 26th 2026, 8:51 am",pending,Joy Ihedioha ,"""yes""","""18–24""","""Female""","""₦30,000 – ₦69,999""","""Another household member/head decides""","""Sometimes""","""Secondary""","""Employed part-time""","""Senior management / professional (e.g., doctor, lawyer, exec)""","""Rented — flat/apartment""","Car
Generator
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone
Air conditioner","""₦350,001 – ₦700,000""","""5–6""","""Anambra"""
68300015,"10.2907216, 11.1127309","Aug 26th 2026, 8:53 am",pending,MUHAMMAD UMAR,"""yes""","""25–34""","""Male""","""₦10,000 – ₦29,999""","""Another household member/head decides""","""Often""","""HND/Bachelor's degree""","""Employed part-time""","""Unskilled / casual labor""","""Living with family / free housing""","Computer/laptop
Smartphone
Cable/satellite TV (DSTV, GOtv, etc.)","""₦150,001 – ₦350,000""","""5–6""","""Gombe"""
93470386,"6.6583056, 3.4559878","Aug 26th 2026, 8:53 am",pending,Ogunlana funmilayo ,"""yes""","""35–44""","""Female""","""₦10,000 – ₦29,999""","""I decide jointly with a spouse/partner""","""Rarely""","""OND/NCE""","""Employed part-time""","""Junior staff / semi-skilled""","""Rented — flat/apartment""","Smartphone
Cable/satellite TV (DSTV, GOtv, etc.)
Refrigerator","""₦150,001 – ₦350,000""","""3–4""","""Lagos"""
378913919,"8.1236856, 4.2354181","Aug 26th 2026, 8:53 am",pending,Oyeyiola Mary Dasola,"""yes""","""25–34""","""Female""","""₦30,000 – ₦69,999""","""I decide jointly with a spouse/partner""","""Often""","""Secondary""","""Self-employed / business owner""","""Unskilled / casual labor""","""Rented — flat/apartment""","Smartphone
Generator
Car","""₦150,001 – ₦350,000""","""3–4""","""Oyo"""
182599677,"9.2775733, 12.4197317","Aug 26th 2026, 8:55 am",pending,Dahiru Abubakar Abba ,"""yes""","""35–44""","""Male""","""₦30,000 – ₦69,999""","""I decide alone""","""Sometimes""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Middle management / skilled / supervisory""","""Own home — detached house/duplex""","Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone
Refrigerator
Car","""₦150,001 – ₦350,000""","""5–6""","""Adamawa"""
